SINGH_NFE2L2_TARGETS,DepMap_ID
2223.708471,ACH-000013
2214.2876366624105,ACH-000331
2211.665145,ACH-001563
2209.77524,ACH-000149
2198.47135498892,ACH-000978
2197.877651,ACH-000107
2193.1347358031303,ACH-000568
2192.05196,ACH-000853
2185.13006976944,ACH-000914
2173.935494,ACH-000585
2157.396833,ACH-000277
2151.028852,ACH-000158
2149.236226,ACH-000962
2135.9132008831,ACH-000278
2135.5540976685897,ACH-000619
2130.006204,ACH-000687
2128.3523662851003,ACH-000443
2123.735686,ACH-000369
2122.1660305485298,ACH-000096
2113.913674,ACH-000415
2097.3730403594395,ACH-000236
2088.296964,ACH-001301
2084.22952140194,ACH-000041
2083.117392,ACH-000370
2082.731165,ACH-000620
2082.689576,ACH-000064
2081.63287,ACH-000375
2080.618128,ACH-000292
2079.407789,ACH-000205
2076.81896,ACH-000972
2066.658912,ACH-000015
2063.97381,ACH-001500
2061.58562371282,ACH-001057
2052.927763,ACH-000409
2040.1764118882504,ACH-000076
2037.793225,ACH-000310
2033.801929,ACH-000074
2031.9800830117,ACH-001431
2031.307462,ACH-000965
2029.14687173342,ACH-000402
2026.874637,ACH-000747
2024.6149989833104,ACH-001129
2023.056507,ACH-000698
2019.842618,ACH-001300
2019.12028042188,ACH-000276
2013.8834269410504,ACH-000055
2012.511547,ACH-000349
2006.21726037731,ACH-000935
2005.05521137464,ACH-000405
1996.4001522537696,ACH-000419
1990.0600192837803,ACH-000592
1986.739142,ACH-000120
1981.7674686066605,ACH-001529
1977.38478970993,ACH-000304
1975.1446825886896,ACH-000048
1969.734223,ACH-000519
1963.5632067145896,ACH-000534
1961.13950976842,ACH-000546
1959.2842367559,ACH-000631
1952.073151,ACH-000902
1943.70314597964,ACH-000226
1932.14894289722,ACH-000583
1931.03447889674,ACH-001743
1926.608507,ACH-000932
1913.8594729497304,ACH-001060
1910.37726,ACH-000269
1907.02014342154,ACH-000213
1903.768577,ACH-000446
1901.69679817442,ACH-000528
1897.2126521467897,ACH-000774
1894.112142,ACH-000371
1886.716207,ACH-001279
1883.906431,ACH-001295
1883.7601937011104,ACH-000295
1882.487398,ACH-001028
1882.049227,ACH-000689
1879.123879,ACH-000856
1876.293398,ACH-000456
1873.8489147405603,ACH-000299
1872.43218509872,ACH-000177
1870.697682,ACH-000815
1869.749154,ACH-000445
1865.447238,ACH-000004
1861.478928,ACH-000672
1858.587708,ACH-000981
1852.79409236652,ACH-000854
1846.4880228043896,ACH-001611
1845.192751,ACH-001560
1842.14259409076,ACH-000472
1840.945893,ACH-001618
1840.34067,ACH-000458
1837.5898532751896,ACH-000053
1837.51211729602,ACH-001430
1833.2806777608896,ACH-000611
1831.4097280408,ACH-000024
1826.614395,ACH-001148
1825.9755995727,ACH-000654
1816.316891,ACH-000103
1814.138911,ACH-000928
1810.959971,ACH-001128
1809.3865022651603,ACH-001053
1808.07252485752,ACH-000945
1800.958783,ACH-000806
1799.0039423215198,ACH-001280
1798.8300661125302,ACH-000321
1794.098959,ACH-001386
1791.0189810457998,ACH-000290
1788.295722,ACH-000621
1786.947119,ACH-000102
1782.3439869602398,ACH-000702
1779.908831,ACH-000065
1772.105129,ACH-000944
1767.5870911094898,ACH-000952
1754.347147,ACH-000436
1753.2138524514498,ACH-000068
1749.905755,ACH-000508
1743.6328059587302,ACH-000745
1743.114653,ACH-000258
1740.4790639133498,ACH-000641
1736.970917,ACH-000045
1733.332177,ACH-000904
1731.726602,ACH-000800
1730.183109,ACH-000112
1723.3723454801002,ACH-001401
1721.989279,ACH-000707
1711.8547529856305,ACH-001378
1711.462877,ACH-000373
1706.186583,ACH-000751
1694.0742774932598,ACH-001228
1692.943985,ACH-001450
1690.296975,ACH-001029
1688.51246290396,ACH-000607
1684.400486,ACH-000855
1682.70603918473,ACH-000507
1682.598913,ACH-001210
1673.43342570271,ACH-000541
1669.21824008084,ACH-000198
1660.2055075228698,ACH-000533
1657.99702,ACH-000884
1657.289495,ACH-000767
1620.653162,ACH-000181
1610.515296,ACH-000432
1610.168178,ACH-000782
1609.3707787550595,ACH-000588
1606.4287114288502,ACH-000710
1605.07981341469,ACH-000257
1604.551697,ACH-000664
1578.33046,ACH-000728
1577.374977,ACH-001740
1572.5008717386902,ACH-000182
